   0.0, 2,  -1.8724110795776567E+00, -1.0726542846919368E-03, -3.2731094706333935E-04,  7.2588305596229402E-04, -2.9306797959078701E-01,  9.5608959910257363E-01, -1.9590371241135136E-03, -2.7202273143975438E-04, -1.0126607696401644E-03, -7.2588305596229402E-04
  10.0, 2,  -1.8316039352355946E+00, -1.0758348917150147E-03, -3.4713206395140103E-04,  7.2828804456244803E-04, -3.0381071616265781E-01,  9.5271760322957733E-01,  5.3119903259230723E-03, -2.5844142648781001E-04, -1.0254668853077720E-03, -7.2828804456244803E-04
  20.0, 2,  -1.7902007805387041E+00, -1.0786599196992083E-03, -3.6721120189238664E-04,  7.3048226416611418E-04, -3.1458349215037190E-01,  9.4914609765616065E-01,  1.2606021202558363E-02, -2.4448105161284443E-04, -1.0381402791882158E-03, -7.3048226416611418E-04
  30.0, 2,  -1.7482052972633115E+00, -1.0811159384442747E-03, -3.8753780950597264E-04,  7.3245686257039861E-04, -3.2538268450962715E-01,  9.4537255419420896E-01,  1.9920903534362974E-02, -2.3014296302344497E-04, -1.0506651130271214E-03, -7.3245686257039861E-04
  40.0, 2,  -1.7056218356200192E+00, -1.0831896639370750E-03, -4.0810044827854455E-04,  7.3420302569476555E-04, -3.3620453658702054E-01,  9.4139455459584365E-01,  2.7254396995700234E-02, -2.1542928576968293E-04, -1.0630251940336552E-03, -7.3420302569476555E-04
  50.0, 2,  -1.6624554329131387E+00, -1.0848680049384155E-03, -4.2888678309794902E-04,  7.3571200561030434E-04, -3.4704515981329248E-01,  9.3720979947480376E-01,  3.4604173426968761E-02, -2.0034294505462825E-04, -1.0752040057483436E-03, -7.3571200561030434E-04
  60.0, 2,  -1.6187118310525901E+00, -1.0861381113427214E-03, -4.4988357618492355E-04,  7.3697514987464325E-04, -3.5790053587147358E-01,  9.3281611730571024E-01,  4.1967817641746064E-02, -1.8488769578676095E-04, -1.0871847420596151E-03, -7.3697514987464325E-04
  70.0, 2,  -1.5743974927767490E+00, -1.0869874241317620E-03, -4.7107668468041139E-04,  7.3798393208016110E-04, -3.6876651935673088E-01,  9.2821147346595667E-01,  4.9342828533424678E-02, -1.6906815007749820E-04, -1.0989503443672639E-03, -7.3798393208016110E-04
  80.0, 2,  -1.5295196164437854E+00, -1.0874037267178567E-03, -4.9245106213783067E-04,  7.3872998350661689E-04, -3.7963884094289546E-01,  9.2339397928239908E-01,  5.6726620492950200E-02, -1.5288980238276542E-04, -1.1104835418658233E-03, -7.3872998350661689E-04
  90.0, 2,  -1.4840861492492039E+00, -1.0873751974462857E-03, -5.1399076415563425E-04,  7.3920512575263253E-04, -3.9051311106842235E-01,  9.1836190104260940E-01,  6.4116525148099540E-02, -1.3635905198515236E-04, -1.1217668948938038E-03, -7.3920512575263253E-04
 100.0, 2,  -1.4381057987273167E+00, -1.0868904630011935E-03, -5.3567895836826804E-04,  7.3940140420383836E-04, -4.0138482415209570E-01,  9.1311366892819434E-01,  7.1509793433367885E-02, -1.1948322251368811E-04, -1.1327828412661142E-03, -7.3940140420383836E-04
 110.0, 2,  -1.3915880423975378E+00, -1.0859386524346062E-03, -5.5749793899298038E-04,  7.3931112217885057E-04, -4.1224936334618312E-01,  9.0764788582556821E-01,  7.8903597998083413E-02, -1.0227057820184889E-04, -1.1435137454771053E-03, -7.3931112217885057E-04
