   0.0, 2,   4.2819911272524078E+03, -2.9306797959078701E-01,  9.5608959910257363E-01, -1.9590371241135136E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.6611233238895999E-01,  2.5811455476107831E-01,  1.9590371241135136E-03
  10.0, 2,   4.2634705541417161E+03, -3.0381071616265781E-01,  9.5271760322957733E-01,  5.3119903259230723E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.6876496943848767E-01,  2.4792381238522343E-01, -5.3119903259230723E-03
  20.0, 2,   4.2453610353209706E+03, -3.1458349215037190E-01,  9.4914609765616065E-01,  1.2606021202558363E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.7127989727050668E-01,  2.3760565941836317E-01, -1.2606021202558363E-02
  30.0, 2,   4.2276685130338219E+03, -3.2538268450962715E-01,  9.4537255419420896E-01,  1.9920903534362974E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.7365333133958321E-01,  2.2716150196216334E-01, -1.9920903534362974E-02
  40.0, 2,   4.2103988893799597E+03, -3.3620453658702054E-01,  9.4139455459584365E-01,  2.7254396995700234E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.7588150447983135E-01,  2.1659290629792341E-01, -2.7254396995700234E-02
  50.0, 2,   4.1935580195366074E+03, -3.4704515981329248E-01,  9.3720979947480376E-01,  3.4604173426968761E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.7796067475122261E-01,  2.0590160228023754E-01, -3.4604173426968761E-02
  60.0, 2,   4.1771517047989892E+03, -3.5790053587147358E-01,  9.3281611730571024E-01,  4.1967817641746064E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.7988713359047186E-01,  1.9508948640620624E-01, -4.1967817641746064E-02
  70.0, 2,   4.1611856854520302E+03, -3.6876651935673088E-01,  9.2821147346595667E-01,  4.9342828533424678E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.8165721424741326E-01,  1.8415862452877096E-01, -4.9342828533424678E-02
  80.0, 2,   4.1456656334868721E+03, -3.7963884094289546E-01,  9.2339397928239908E-01,  5.6726620492950200E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.8326730048482813E-01,  1.7311125418275794E-01, -5.6726620492950200E-02
  90.0, 2,   4.1305971451771984E+03, -3.9051311106842235E-01,  9.1836190104260940E-01,  6.4116525148099540E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.8471383551664426E-01,  1.6194978649270439E-01, -6.4116525148099540E-02
 100.0, 2,   4.1159857335318911E+03, -4.0138482415209570E-01,  9.1311366892819434E-01,  7.1509793433367885E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.8599333115639309E-01,  1.5067680763221711E-01, -7.1509793433367885E-02
 110.0, 2,   4.1018368206417790E+03, -4.1224936334618312E-01,  9.0764788582556821E-01,  7.8903597998083413E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.8710237714480942E-01,  1.3929507980551001E-01, -7.8903597998083413E-02
 120.0, 2,   4.0881557299398164E+03, -4.2310200583171054E-01,  9.0196333596775502E-01,  8.6295035958634067E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.8803765062247306E-01,  1.2780754172317824E-01, -8.6295035958634067E-02
 130.0, 2,   4.0749476783952023E+03, -4.3393792865747627E-01,  8.9605899335917660E-01,  9.3681131998918171E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.8879592571055153E-01,  1.1621730854573818E-01, -9.3681131998918171E-02
 140.0, 2,   4.0622177686633095E+03, -4.4475221512101293E-01,  8.8993402993408666E-01,  1.0105884182113084E-01,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.8937408315992936E-01,  1.0452767127043851E-01, -1.0105884182113084E-01
 150.0, 2,   4.0499709812145366E+03, -4.5553986168612887E-01,  8.8358782339838737E-01,  1.0842505594686926E-01,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.8976912002644957E-01,  9.2742095539107672E-02, -1.0842505594686926E-01
 160.0, 2,   4.0382121664662332E+03, -4.6629578542800859E-01,  8.7701996470391430E-01,  1.1577660386633248E-01,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.8997815932760391E-01,  8.0864219847271199E-02, -1.1577660386633248E-01
 170.0, 2,   4.0269460369429999E+03, -4.7701483199291750E-01,  8.7023026510412738E-01,  1.2311025853099979E-01,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.8999845963387256E-01,  6.8897853137746615E-02, -1.2311025853099979E-01
 180.0, 2,   4.0161771594914862E+03, -4.8769178405563890E-01,  8.6321876274036513E-01,  1.3042274118274347E-01,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.8982742454607919E-01,  5.6846971765034206E-02, -1.3042274118274347E-01
 190.0, 2,   4.0059099475766402E+03, -4.9832137025374357E-01,  8.5598572870846856E-01,  1.3771072650982388E-01,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00, -9.8946261200856678E-01,  4.4715715820289763E-02, -1.3771072650982388E-01
